IncidentParticle,Edep_Cancer_MeV,Edep_Normal_MeV,Dose_Cancer_Gy,Dose_Normal_Gy,Cancer_Normal_Dose_Ratio
gamma,78.17447378842223,2293.850947415868,2.0874885879842597e-05,2.3558681986079916e-11,886080.3797163572
proton,22256.35133366748,67720.0732079849,0.005943101010816129,6.955097368371977e-10,8544957.311226353
